title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
If you come softly,"Woodson, Jacqueline.",9780142415221 (pbk),F,FIC,African Americans -- Fiction. | Dating (Social customs) -- Fiction. | Family life -- Fiction. | Romance fiction. | School stories.,"""After meeting at their private school in New York, fifteen-year-old Jeremiah, who is black and whose parents are separated, and Ellie, who is white and whose mother has twice abandoned her, fall in love and then try to cope with people's reactions""--OCLC.",,4.2
The opposite of here,"Altebrando, Tara.",9781681197067,F,FIC,Birthdays -- Fiction. | Cruise ships -- Fiction. | Dating (Social customs) -- Fiction. | Friendship -- Fiction. | Grief -- Fiction. | Mystery fiction.,"""On a seventeenth-birthday cruise with her parents and three friends just months after her boyfriend died, Natalie is surprised to connect with a fellow passenger, who then mysteriously disappears""--Provided by publisher.",,Young Adult
Out of left field,"Klages, Ellen 1954-",9780425288597,F,FIC,Baseball -- Fiction. | Gender role -- Fiction. | Historical fiction. | Little League baseball -- Fiction. | Single-parent families -- Fiction. | Women's rights -- Fiction.,"In 1957, inspired by what she is learning about civil rights and armed with knowledge of female ball players, ten-year-old Katy Gordon fights to be allowed to play Little League baseball.",,3-6
All that I can fix,"Chan, Crystal.",9781534408883,F,FIC,Family life -- Fiction. | Racially mixed people.,"""In Makersville, Indiana, people know all about fifteen-year-old Ronney--he's from that mixed-race family with the dad who tried to kill himself, the pill-popping mom, and the genius kid sister. Can Ronney figure out a way to hold it together as all his worlds fall apart?""--Provided by publisher.",,Young Adult
The recruit,"Coleman, K. R.",9781541500235 (lib bind),F,FIC,College choice -- Fiction. | Dating (Social customs) -- Fiction. | Farm life -- Fiction. -- Kansas | Friendship -- Fiction. | Soccer -- Fiction. | Sports -- Fiction.,"With her family's farm failing, Tessa's best hope of attending college is a soccer scholarship but the offer her best friend helps arrange would mean giving up her boyfriend.",Kick!,2.8.
Reflection  a twisted tale,"Lim, Elizabeth.",9781484781296,F,FIC,Gender role -- Fiction. | Historical fiction. | Women soldiers -- Fiction.,"""When Captain Shang is mortally wounded by Shan Yu in battle, Mulan must travel to the Underworld, Diyu, in order to save him from certain death. But King Yama, the ruler of Diyu, is not willing to give Shang up easily. With the help of Shang's great lion guardian ShiShi, Mulan must traverse Diyu to find Shang's spirit, face harrowing obstacles, and leave by sunrise--or become King Yama's prisoner forever. Moreover, Mulan is still disguised as the soldier called Ping, wrestling with the decision to reveal her true identity to her closest friend""--Amazon.",,Young Adult
Summer of salt,"Leno, Katrina.",9780062493620,F,FIC,Bildungsromans. | Birds -- Fiction. | Magic -- Fiction. | Man-woman relationship -- Fiction. | Teenage girls -- Fiction.,"""Georgina Fernweh waits impatiently for the tingle of magic in her fingers-magic that has touched every woman in her family. But with her eighteenth birthday looming at the end of this summer, Georgina fears her gift will never come. Over the course of her last summer on the island--a summer of storms, falling in love, and the mystery behind one rare three-hundred-year-old bird--Georgina will learn the truth about magic, in all its many forms""--Amazon.",,Young Adult
Sunny,"Reynolds, Jason.",9781481450218,F,FIC,Family life -- Fiction. | Father-son relationship -- Fiction. | Home schooling -- Fiction. | Self-esteem -- Fiction. | Track athletics -- Fiction.,"Sunny, the Defenders' best runner, only runs for his father, who blames Sunny for his mother's death, but with his coach's help Sunny finds a way to combine track and field with his true passion, dancing.",Track,4.5.
Team players,"Lupica, Mike.",9781481410076,F,FIC,Asperger's syndrome -- Fiction. | Autism -- Fiction. | Interpersonal relations -- Fiction. | Softball -- Fiction.,"""A girl with Asperger's joins Cassie's softball team but not everyone on the team welcomes her, creating a rift between Cassie and her teammates""--Provided by publisher.",Home team novel,5.7.
Waste of space,"Gibbs, Stuart 1969-",9781481477796,F,FIC,Mystery fiction. | Science fiction. | Mystery fiction. | Extraterrestrial beings -- Fiction. | Space colonies -- Fiction. | Interpersonal relations -- Fiction. | Poisons and poisoning -- Fiction.,"In 2041 on Moon Base Alpha, thirteen-year-old Dash must solve the mystery of how Lars was poisoned before the base loses oxygen, forcing the colonists to return to Earth.",Moon Base Alpha novel,810
Whatshisface,"Korman, Gordon.",9781338200164,F,FIC,Cellular telephones -- Fiction. | Friendship -- Fiction. | Middle schools -- Fiction.,"""Twelve-year-old Cooper Vega and his military family has moved so often that he is used to new schoolmates not knowing his name, but at the moment he has a bigger problem--his new phone is haunted by the ghost of Roderick Northrop, a boy from the sixteenth-century, who needs his help to finish a quest, which is somehow tied up in the Stratford Middle School production of Romeo and Juliet""--OCLC.",,5.4.
Amal unbound,"Saeed, Aisha.",9780399544682,F,FIC,Conduct of life -- Fiction. | Contract labor -- Fiction. | Courage -- Fiction. | Family life -- Fiction. -- Pakistan,"In Pakistan, Amal holds onto her dream of being a teacher even after becoming an indentured servant to pay off her family's debt to the wealthy and corrupt Khan family.",,6.9.
Winter glass,"Hillyer, Lexa.",9780062440907,F,FIC,Fairies -- Fiction. | Fantasy fiction. | Princesses -- Fiction. | Sisters -- Fiction.,"""Aurora, torn from the dream world and Heath, plots to assassinate the faerie queen Malfleur, only to confront temptations she never expected. Isabelle, meanwhile, opens her heart to Prince William as they attempt to unite their kingdoms and wage a winning war against Malfleurs army of Vultures. But when the appearance of an unbreakable glass slipper prompts Isabelle to discover more about her lineage, her true identity begins to take shape and her legacy becomes as clear as ice. Devoted half sisters Isabelle and Aurora will grapple with their understanding of love and loyalty as they face a threat even greater than that of the evil queen--the threat of losing each other forever""--Provided by publisher.",,Young Adult
Anger is a gift,"Oshiro, Mark.",9781250167026,F,FIC,African Americans -- Fiction. | Anger -- Fiction. | Anxiety -- Fiction. | Fathers -- Fiction. -- Death | Police brutality -- Fiction. | Shootings (Crime) -- Fiction. | Students -- Fiction. -- Political activity | Teenagers -- Fiction.,"""Six years ago, Moss Jefferies' father was murdered by an Oakland police officer. Along with losing a parent, the media's vilification of his father and lack of accountability has left Moss with near crippling panic attacks. Now, in his sophomore year of high school, Moss and his fellow classmates find themselves increasingly treated like criminals in their own school. New rules. Random lockersearches. Constant intimidation and Oakland Police Department stationed in their halls. Despite their youth, the students decide to organize and push back against the administration. When tensions hit a fever pitch and tragedy strikes, Moss must face a difficult choice: give in to fear and hate or realize that anger can actually be a gift.""--Provided by publisher.",,Young Adult
